age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Decision
senior,Other-gov,HS-grad,Married,Service,Husband,White,Male,low,none,fulltime,United-States,1
senior,Private,HS-grad,Married,Sales,Husband,White,Male,low,none,overtime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,fulltime,United-States,1
senior,Federal-gov,HS-grad,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,1
young,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,?,Some-college,Never-married,?,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Bachelors,Married,Prof-specialty,Wife,White,Female,none,high,fulltime,United-States,1
middle-aged,Other-gov,HS-grad,Married,Other-occupations,Husband,White,Male,none,high,fulltime,United-States,1
senior,Private,Dropout,Married,Adm-clerical,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Wife,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,White-collar,Wife,White,Female,none,high,fulltime,United-States,1
young,Private,Dropout,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Not-married,Other-occupations,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Never-married,Prof-specialty,Own-child,Other,Female,none,none,overtime,Latin-America,0
middle-aged,Private,Associates,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,parttime,United-States,0
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
young,Private,Bachelors,Never-married,Other-occupations,Not-in-family,Black,Male,none,none,fulltime,?,0
middle-aged,Private,Bachelors,Married,Other-occupations,Wife,White,Female,none,none,parttime,United-States,1
middle-aged,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,none,none,overtime,United-States,0
senior,?,HS-grad,Married,?,Husband,White,Male,none,none,parttime,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Sales,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Not-married,Sales,Not-in-family,White,Male,none,none,fulltime,United-States,0
young,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Self-emp,HS-grad,Never-married,Sales,Unmarried,White,Male,none,none,unhealthy,United-States,0
young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,none,none,parttime,United-States,0
senior,Private,HS-grad,Married,White-collar,Wife,White,Female,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Other-gov,Some-college,Never-married,Service,Own-child,White,Female,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Married,Service,Husband,White,Male,none,none,overtime,United-States,1
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Prof-specialty,Unmarried,Black,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,none,none,parttime,United-States,0
middle-aged,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,unhealthy,United-States,0
middle-aged,Private,HS-grad,Separated,Blue-collar,Not-in-family,Black,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Service,Wife,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,none,none,parttime,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,unhealthy,United-States,0
senior,Private,Masters,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,United-States,0
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Other-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,1
senior,Self-emp,Dropout,Not-married,Sales,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,White-collar,Own-child,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Associates,Not-married,Adm-clerical,Unmarried,White,Female,none,none,overtime,United-States,0
senior,Other-gov,Dropout,Separated,Service,Other-relative,White,Female,none,none,fulltime,United-States,0
senior,Self-emp,Doctorate,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,HS-grad,Not-married,White-collar,Not-in-family,Black,Female,low,none,overtime,United-States,0
young,Other-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Other-relative,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
senior,Private,Bachelors,Not-married,Sales,Unmarried,White,Male,none,none,fulltime,United-States,1
senior,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,high,none,overtime,United-States,1
middle-aged,Private,Dropout,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,Latin-America,0
senior,Self-emp,HS-grad,Married,White-collar,Wife,White,Female,none,none,parttime,United-States,1
senior,Private,HS-grad,Not-married,Blue-collar,Other-relative,White,Male,none,none,parttime,Latin-America,0
young,Private,Dropout,Never-married,Service,Own-child,Black,Male,none,none,parttime,United-States,0
middle-aged,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
senior,Self-emp,Some-college,Married,Prof-specialty,Husband,White,Male,low,none,overtime,United-States,0
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,parttime,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Some-college,Married,Adm-clerical,Husband,White,Male,none,high,fulltime,United-States,0
middle-aged,Self-emp,Some-college,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Not-married,White-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,low,none,fulltime,United-States,0
middle-aged,Private,Prof-school,Not-married,Prof-specialty,Not-in-family,White,Male,high,none,overtime,United-States,1
middle-aged,Private,Associates,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,HS-grad,Never-married,Blue-collar,Unmarried,Black,Male,none,none,unhealthy,United-States,0
middle-aged,Other-gov,HS-grad,Not-married,Blue-collar,Not-in-family,White,Male,none,high,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Other-relative,Black,Female,none,none,fulltime,United-States,0
young,?,Some-college,Never-married,?,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,?,HS-grad,Separated,?,Unmarried,White,Female,none,none,fulltime,United-States,0
middle-aged,Other-gov,Masters,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,1
young,Private,Some-college,Never-married,Blue-collar,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Married,Service,Husband,White,Male,none,none,fulltime,?,0
middle-aged,Private,Associates,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Masters,Never-married,White-collar,Not-in-family,White,Male,none,high,fulltime,United-States,0
senior,Private,Some-college,Married,White-collar,Husband,White,Male,none,low,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Service,Not-in-family,White,Female,none,none,parttime,Euro-1,0
middle-aged,Self-emp,Some-college,Married,Blue-collar,Husband,White,Male,low,none,unhealthy,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,unhealthy,United-States,0
young,Private,Some-college,Never-married,Service,Own-child,White,Male,none,none,parttime,United-States,0
old,Self-emp,Bachelors,Widowed,Prof-specialty,Unmarried,White,Male,none,none,overtime,United-States,1
young,Private,Some-college,Never-married,Service,Own-child,White,Male,none,none,parttime,United-States,0
old,Private,Some-college,Married,Sales,Husband,White,Male,none,none,parttime,United-States,0
senior,Self-emp,HS-grad,Not-married,Service,Not-in-family,White,Male,none,none,fulltime,British-Commonwealth,0
middle-aged,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,unhealthy,Other,0
senior,Self-emp,Prof-school,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,high,none,overtime,SE-Asia,1
middle-aged,Private,HS-grad,Married,Service,Husband,Amer-Indian-Eskimo,Male,none,none,overtime,United-States,0
senior,?,Bachelors,Not-married,?,Not-in-family,White,Female,none,none,fulltime,United-States,0
senior,Private,HS-grad,Married,Service,Husband,White,Male,low,none,parttime,United-States,0
young,Private,Some-college,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,none,none,fulltime,Latin-America,0
middle-aged,Other-gov,Bachelors,Not-married,Prof-specialty,Own-child,White,Female,none,none,overtime,United-States,0
senior,Self-emp,Bachelors,Married,Sales,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Dropout,Not-married,Blue-collar,Not-in-family,White,Male,none,low,fulltime,United-States,0
senior,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
senior,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,low,none,fulltime,United-States,0
middle-aged,Private,Masters,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,none,none,overtime,Euro-1,1
old,?,Some-college,Married,?,Husband,White,Male,none,none,parttime,United-States,0
senior,Private,HS-grad,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Blue-collar,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,Other-gov,Bachelors,Married,Adm-clerical,Husband,White,Male,none,low,overtime,United-States,1
middle-aged,Private,Some-college,Not-married,Adm-clerical,Own-child,White,Female,none,none,overtime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,overtime,United-States,0
senior,Private,Dropout,Not-married,Service,Unmarried,Black,Female,none,none,parttime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Some-college,Never-married,Service,Unmarried,White,Female,none,none,fulltime,United-States,0
senior,Private,Some-college,Not-married,White-collar,Unmarried,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,Blue-collar,Not-in-family,Black,Female,none,none,unhealthy,United-States,0
young,Private,Some-college,Never-married,Adm-clerical,Other-relative,Black,Female,none,none,fulltime,United-States,0
young,Other-gov,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
senior,Other-gov,Some-college,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Sales,Own-child,White,Male,none,none,parttime,United-States,0
young,Private,HS-grad,Never-married,Service,Not-in-family,White,Male,none,none,parttime,United-States,0
middle-aged,Other-gov,Some-college,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Associates,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Dropout,Separated,Blue-collar,Unmarried,White,Female,none,none,fulltime,United-States,0
young,Private,Bachelors,Never-married,White-collar,Own-child,White,Female,none,none,parttime,United-States,0
old,Private,Masters,Never-married,Service,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Sales,Own-child,White,Female,none,none,parttime,United-States,0
senior,Federal-gov,Associates,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,United-States,1
young,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,parttime,United-States,0
young,Private,HS-grad,Married,Service,Wife,White,Female,none,none,fulltime,South-America,0
young,Private,HS-grad,Never-married,Sales,Unmarried,White,Female,none,none,fulltime,South-America,0
senior,Other-gov,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
senior,Private,Some-college,Married,Sales,Wife,White,Female,none,none,fulltime,United-States,1
senior,?,Some-college,Married,?,Husband,White,Male,none,none,parttime,United-States,0
middle-aged,Other-gov,Some-college,Not-married,White-collar,Not-in-family,Black,Female,none,none,fulltime,United-States,0
senior,Federal-gov,Some-college,Not-married,White-collar,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,none,none,fulltime,United-States,0
old,Self-emp,Dropout,Widowed,Sales,Unmarried,White,Female,none,none,fulltime,British-Commonwealth,0
middle-aged,Self-emp,HS-grad,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
senior,Self-emp,HS-grad,Married,White-collar,Husband,White,Male,none,high,overtime,United-States,1
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Sales,Own-child,White,Female,none,none,parttime,United-States,0
young,Private,HS-grad,Married,Adm-clerical,Wife,Black,Female,none,none,fulltime,United-States,0
middle-aged,Other-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Some-college,Not-married,White-collar,Other-relative,Black,Female,none,none,overtime,United-States,0
senior,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,Prof-specialty,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,none,none,overtime,United-States,0
young,Private,HS-grad,Not-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
senior,Private,Some-college,Married,White-collar,Wife,White,Female,none,none,fulltime,United-States,1
middle-aged,Private,HS-grad,Separated,Other-occupations,Not-in-family,White,Female,none,none,fulltime,United-States,0
senior,Other-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,overtime,United-States,1
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Service,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,Private,Some-college,Not-married,White-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
middle-aged,Self-emp,Associates,Never-married,Sales,Not-in-family,White,Male,none,none,unhealthy,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,HS-grad,Married,Service,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
old,Private,Dropout,Not-married,Blue-collar,Not-in-family,White,Male,none,none,unhealthy,United-States,0
young,Private,Some-college,Never-married,Service,Own-child,White,Female,none,none,parttime,United-States,0
middle-aged,Private,Some-college,Not-married,Adm-clerical,Not-in-family,Black,Female,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Blue-collar,Own-child,White,Male,none,none,parttime,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Masters,Not-married,Prof-specialty,Unmarried,White,Female,none,none,overtime,United-States,0
senior,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Masters,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
senior,?,Some-college,Married,?,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Other-gov,Masters,Not-married,Prof-specialty,Unmarried,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Service,Own-child,White,Male,none,none,fulltime,United-States,0
young,Other-gov,Dropout,Never-married,White-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Separated,Adm-clerical,Other-relative,White,Female,none,none,fulltime,United-States,0
young,Private,Bachelors,Married,Prof-specialty,Wife,White,Female,none,none,fulltime,United-States,0
senior,Private,HS-grad,Never-married,Service,Unmarried,White,Male,none,none,fulltime,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Wife,White,Female,none,none,overtime,United-States,1
middle-aged,Federal-gov,Masters,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,?,1
senior,Private,Associates,Widowed,Prof-specialty,Not-in-family,White,Female,none,none,fulltime,United-States,0
old,Self-emp,HS-grad,Married,Adm-clerical,Wife,White,Female,none,none,parttime,United-States,0
senior,Private,HS-grad,Married,Prof-specialty,Wife,White,Female,none,none,parttime,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
young,Other-gov,Some-college,Married,Other-occupations,Husband,White,Male,none,none,unhealthy,United-States,1
middle-aged,Private,Some-college,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,HS-grad,Not-married,Blue-collar,Own-child,White,Male,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Own-child,White,Male,none,none,unhealthy,Latin-America,0
middle-aged,Private,Some-college,Never-married,Blue-collar,Not-in-family,Asian-Pac-Islander,Male,none,none,fulltime,SE-Asia,0
middle-aged,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,none,none,overtime,United-States,0
middle-aged,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Service,Own-child,White,Male,none,none,parttime,United-States,0
middle-aged,Private,Bachelors,Not-married,Sales,Not-in-family,White,Female,none,none,overtime,United-States,0
middle-aged,Self-emp,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Self-emp,HS-grad,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,0
young,?,HS-grad,Never-married,?,Own-child,White,Female,none,none,fulltime,United-States,0
senior,Other-gov,Associates,Separated,Adm-clerical,Not-in-family,Black,Female,none,none,fulltime,United-States,0
senior,?,Associates,Married,?,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,Some-college,Never-married,Service,Own-child,White,Female,none,none,parttime,United-States,0
senior,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
young,Private,Some-college,Not-married,Sales,Own-child,White,Female,none,none,overtime,Other,0
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
senior,Private,Dropout,Not-married,Blue-collar,Other-relative,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Not-married,Service,Unmarried,White,Female,none,none,parttime,United-States,0
senior,Private,Bachelors,Married,White-collar,Husband,White,Male,high,none,overtime,United-States,1
middle-aged,Private,Bachelors,Never-married,Other-occupations,Not-in-family,White,Female,none,none,fulltime,United-States,1
middle-aged,Private,Masters,Never-married,White-collar,Not-in-family,Asian-Pac-Islander,Male,none,none,fulltime,United-States,0
senior,Private,Associates,Married,Other-occupations,Husband,White,Male,low,none,fulltime,United-States,0
old,Self-emp,Dropout,Married,Blue-collar,Husband,White,Male,none,none,parttime,United-States,0
young,Private,Dropout,Never-married,Service,Own-child,White,Male,none,none,parttime,British-Commonwealth,0
middle-aged,Private,Bachelors,Separated,Prof-specialty,Unmarried,White,Female,none,none,fulltime,United-States,0
middle-aged,Other-gov,Masters,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,1
young,?,HS-grad,Never-married,?,Own-child,White,Male,none,none,fulltime,Euro-2,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Unmarried,Other,Female,none,none,fulltime,South-America,0
middle-aged,Federal-gov,Masters,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,1
senior,Private,Associates,Married,Sales,Husband,White,Male,high,none,overtime,United-States,1
senior,Other-gov,Some-college,Separated,Other-occupations,Unmarried,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,none,none,fulltime,United-States,0
senior,Private,Dropout,Married,Service,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Associates,Not-married,Prof-specialty,Unmarried,White,Female,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,none,none,fulltime,United-States,0
senior,Private,Dropout,Not-married,Blue-collar,Unmarried,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Never-married,Sales,Own-child,White,Male,none,none,overtime,United-States,0
young,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,none,none,parttime,United-States,0
senior,Private,HS-grad,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Self-emp,Some-college,Not-married,Adm-clerical,Unmarried,White,Female,none,none,overtime,United-States,0
middle-aged,Self-emp,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,none,none,fulltime,United-States,0
young,Private,Dropout,Never-married,Service,Not-in-family,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Married,Blue-collar,Husband,White,Male,none,none,fulltime,Latin-America,0
young,Private,Some-college,Never-married,Sales,Own-child,White,Female,none,none,parttime,United-States,0
senior,?,Some-college,Married,?,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Adm-clerical,Husband,White,Male,low,none,fulltime,United-States,1
senior,Self-emp,Dropout,Not-married,Blue-collar,Not-in-family,White,Male,none,none,unhealthy,United-States,0
middle-aged,Private,Dropout,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
senior,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,unhealthy,United-States,0
middle-aged,Private,HS-grad,Never-married,Service,Unmarried,Amer-Indian-Eskimo,Female,none,none,fulltime,United-States,0
senior,Other-gov,Bachelors,Married,White-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,low,none,overtime,United-States,1
senior,Private,HS-grad,Married,Prof-specialty,Husband,White,Male,low,none,fulltime,United-States,0
senior,Private,HS-grad,Married,Other-occupations,Husband,White,Male,none,none,fulltime,United-States,1
senior,Other-gov,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,none,high,fulltime,United-States,0
middle-aged,Self-emp,Associates,Not-married,Prof-specialty,Not-in-family,White,Female,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,unhealthy,United-States,0
senior,Self-emp,Some-college,Married,Blue-collar,Husband,White,Male,low,none,fulltime,United-States,1
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
senior,Other-gov,Associates,Married,Adm-clerical,Husband,White,Male,none,none,fulltime,United-States,0
old,?,Dropout,Not-married,?,Not-in-family,White,Female,low,none,fulltime,United-States,0
senior,Self-emp,Associates,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Never-married,White-collar,Unmarried,White,Female,none,none,fulltime,Other,0
young,Private,Bachelors,Never-married,Service,Own-child,White,Female,none,none,fulltime,United-States,0
young,Private,Some-college,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,none,none,overtime,SE-Asia,0
middle-aged,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,none,none,overtime,United-States,0
middle-aged,Other-gov,Associates,Not-married,Service,Unmarried,White,Female,none,none,fulltime,United-States,0
senior,Private,HS-grad,Not-married,Blue-collar,Unmarried,Asian-Pac-Islander,Female,none,none,fulltime,Euro-2,0
middle-aged,Private,HS-grad,Separated,Blue-collar,Not-in-family,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Married,Other-occupations,Wife,Black,Female,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Married,Sales,Husband,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,none,none,fulltime,United-States,1
middle-aged,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,none,none,fulltime,United-States,0
senior,Private,Some-college,Not-married,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
senior,Self-emp,Dropout,Married,White-collar,Husband,White,Male,none,none,unhealthy,Euro-2,0
young,Private,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Some-college,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Other-gov,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Some-college,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,0
senior,Private,Bachelors,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
senior,?,HS-grad,Married,?,Husband,White,Male,none,low,fulltime,United-States,1
young,Private,Bachelors,Never-married,White-collar,Not-in-family,White,Male,none,low,overtime,United-States,0
middle-aged,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,none,none,fulltime,United-States,0
senior,Federal-gov,Masters,Married,White-collar,Husband,White,Male,none,none,fulltime,British-Commonwealth,1
middle-aged,Self-emp,Some-college,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
